2025-06-11 09:13:59 | [UNKNOWN]
2025-06-11 09:14:01 | [UNKNOWN]
2025-06-11 09:14:02 | [UNKNOWN]
2025-06-11 09:14:04 | [UNKNOWN]
2025-06-11 09:14:06 | [UNKNOWN]
2025-06-11 09:14:08 | [UNKNOWN]
2025-06-11 09:14:09 | [UNKNOWN]
2025-06-11 09:14:11 | [UNKNOWN]
2025-06-11 09:14:12 | [UNKNOWN]
2025-06-11 09:14:14 | [UNKNOWN]
2025-06-11 09:14:16 | [UNKNOWN]
2025-06-11 09:14:17 | [UNKNOWN]
2025-06-11 09:14:19 | [UNKNOWN]
2025-06-11 09:14:20 | [UNKNOWN]
2025-06-11 09:14:22 | [UNKNOWN]
2025-06-11 09:14:23 | [UNKNOWN]
2025-06-11 09:14:25 | [UNKNOWN]
2025-06-11 09:14:29 | [UNKNOWN]
2025-06-11 09:14:30 | [UNKNOWN]
2025-06-11 09:14:31 | [UNKNOWN]
2025-06-11 09:14:33 | [UNKNOWN]
2025-06-11 09:14:35 | [UNKNOWN]
2025-06-11 09:14:37 | [UNKNOWN]
2025-06-11 09:14:38 | [UNKNOWN]
2025-06-11 09:14:40 | [UNKNOWN]
2025-06-11 09:14:41 | [UNKNOWN]
2025-06-11 09:27:30 | [UNKNOWN]
2025-06-11 09:27:30 | [UNKNOWN]
2025-06-11 09:27:32 | [UNKNOWN]
2025-06-11 09:27:34 | [UNKNOWN]
2025-06-11 09:27:35 | [UNKNOWN]
2025-06-11 09:27:36 | [UNKNOWN]
2025-06-11 09:27:37 | [UNKNOWN]
2025-06-11 09:27:38 | [UNKNOWN]
2025-06-11 09:27:54 | PRIMARY
2025-06-11 09:27:55 | PRIMARY
2025-06-11 09:27:56 | PRIMARY
2025-06-11 09:27:57 | PRIMARY
2025-06-11 09:27:58 | PRIMARY
2025-06-11 09:27:59 | PRIMARY
2025-06-11 09:28:26 | PRIMARY
2025-06-11 09:28:27 | PRIMARY
2025-06-11 09:28:28 | PRIMARY
2025-06-11 09:28:29 | BACKUP
2025-06-11 09:28:31 | BACKUP
2025-06-11 09:28:33 | PRIMARY
2025-06-11 09:28:34 | BACKUP
2025-06-11 09:28:36 | BACKUP
2025-06-11 09:28:38 | PRIMARY
2025-06-11 09:28:39 | PRIMARY
2025-06-11 09:28:40 | PRIMARY
2025-06-11 09:28:41 | PRIMARY
2025-06-11 09:28:42 | PRIMARY
2025-06-11 09:28:43 | PRIMARY
2025-06-11 09:28:44 | PRIMARY
2025-06-11 09:28:46 | PRIMARY
2025-06-11 09:28:47 | PRIMARY
2025-06-11 09:28:48 | PRIMARY
2025-06-11 09:28:49 | PRIMARY
2025-06-11 09:28:50 | PRIMARY
2025-06-11 09:28:51 | PRIMARY
2025-06-11 09:28:52 | PRIMARY
2025-06-11 09:28:53 | PRIMARY
2025-06-11 09:28:54 | PRIMARY
2025-06-11 09:28:56 | BACKUP
2025-06-11 09:28:59 | PRIMARY
2025-06-11 09:29:00 | PRIMARY
2025-06-11 09:29:01 | PRIMARY
2025-06-11 09:29:02 | PRIMARY
2025-06-11 09:29:03 | PRIMARY
2025-06-11 09:29:05 | PRIMARY
2025-06-11 09:29:06 | PRIMARY
2025-06-11 09:29:07 | PRIMARY
2025-06-11 09:29:08 | PRIMARY
2025-06-11 09:29:09 | PRIMARY
2025-06-11 09:29:11 | BACKUP
2025-06-11 09:29:13 | PRIMARY
2025-06-11 09:29:14 | PRIMARY
2025-06-11 09:29:15 | PRIMARY
